run,size,strategy,mlm_prob,learning_rate,eval_masking_strategy,eval_mlm_probability,load_best_model_at_end,metric_source,metric_note,best_checkpoint,best_step,best_logged_eval_loss,best_logged_eval_masked_accuracy,last_logged_eval_step,last_logged_eval_loss,last_logged_eval_masked_accuracy,final_eval_loss,final_eval_masked_accuracy,final_eval_perplexity,eval_loss,eval_masked_accuracy,eval_perplexity,train_loss,epoch,num_parameters,train_runtime,eval_runtime
mask_hetero_span__mlm_0p15__lr_1e-4,small,hetero_span,0.15,0.0001,hetero_span,0.15,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_hetero_span__mlm_0p15__lr_1e-4/checkpoint-25000,25000,0.7695276737213135,0.774339395157239,30000,0.7775648236274719,0.76885,0.7775648236274719,0.76885,2.1761664586896132,0.7775648236274719,0.76885,2.1761664586896132,1.1322533317565917,3.066,34149495.0,4627.7007,3.391
mask_hetero_span__mlm_0p15__lr_2e-4,small,hetero_span,0.15,0.0002,hetero_span,0.15,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_hetero_span__mlm_0p15__lr_2e-4/checkpoint-25000,25000,0.6751483678817749,0.7995579222345022,30000,0.6832009553909302,0.79415,0.6832009553909302,0.79415,1.9802061498862995,0.6832009553909302,0.79415,1.9802061498862995,1.007370956802368,3.066,34149495.0,4727.2766,3.7369
mask_hetero_span__mlm_0p15__lr_4e-4,small,hetero_span,0.15,0.0004,hetero_span,0.15,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_hetero_span__mlm_0p15__lr_4e-4/checkpoint-25000,25000,0.6504904627799988,0.8056364915100974,30000,0.6580096483230591,0.80475,0.6580096483230591,0.80475,1.9309452470331396,0.6580096483230591,0.80475,1.9309452470331396,0.9622974295298259,3.066,34149495.0,5160.353,3.7866
mask_hetero_span__mlm_0p20__lr_1e-4,small,hetero_span,0.2,0.0001,hetero_span,0.2,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_hetero_span__mlm_0p20__lr_1e-4/checkpoint-30000,30000,0.8157389760017395,0.7594689418706643,30000,0.8263139724731445,0.7609321288672156,0.8263139724731445,0.7609321288672156,2.284881064565574,0.8263139724731445,0.7609321288672156,2.284881064565574,1.1744769777933757,3.066,34149495.0,5423.5496,3.8717
mask_hetero_span__mlm_0p20__lr_2e-4,small,hetero_span,0.2,0.0002,hetero_span,0.2,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_hetero_span__mlm_0p20__lr_2e-4/checkpoint-30000,30000,0.7191298007965088,0.7868591021449645,30000,0.7246770858764648,0.7851546886241906,0.7246770858764648,0.7851546886241906,2.06406447676982,0.7246770858764648,0.7851546886241906,2.06406447676982,1.0438596399943034,3.066,34149495.0,4748.5293,3.7611
mask_hetero_span__mlm_0p20__lr_4e-4,small,hetero_span,0.2,0.0004,hetero_span,0.2,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_hetero_span__mlm_0p20__lr_4e-4/checkpoint-30000,30000,0.6955605745315552,0.7924009249661111,30000,0.6959953904151917,0.792789191781917,0.6959953904151917,0.792789191781917,2.005704539717203,0.6959953904151917,0.792789191781917,2.005704539717203,1.0017758694966634,3.066,34149495.0,4208.8287,3.8165
mask_hetero_span__mlm_0p25__lr_1e-4,small,hetero_span,0.25,0.0001,hetero_span,0.25,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_hetero_span__mlm_0p25__lr_1e-4/checkpoint-30000,30000,0.8869973421096802,0.7441416071608167,30000,0.8869973421096802,0.7441416071608167,0.8869973421096802,0.7441416071608167,2.42782875655844,0.8869973421096802,0.7441416071608167,2.42782875655844,1.2327203880310058,3.066,34149495.0,4678.644,4.3965
mask_hetero_span__mlm_0p25__lr_2e-4,small,hetero_span,0.25,0.0002,hetero_span,0.25,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_hetero_span__mlm_0p25__lr_2e-4/checkpoint-30000,30000,0.7872597575187683,0.7680780448556773,30000,0.7872597575187683,0.7680780448556773,0.7872597575187683,0.7680780448556773,2.1973668507881072,0.7872597575187683,0.7680780448556773,2.1973668507881072,1.1034806869506837,3.066,34149495.0,5549.816,5.2987
mask_hetero_span__mlm_0p25__lr_4e-4,small,hetero_span,0.25,0.0004,hetero_span,0.25,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_hetero_span__mlm_0p25__lr_4e-4/checkpoint-30000,30000,0.7433351874351501,0.7821583023232425,30000,0.7433351874351501,0.7821583023232425,0.7433351874351501,0.7821583023232425,2.102937522300866,0.7433351874351501,0.7821583023232425,2.102937522300866,1.0446549558003744,3.066,34149495.0,5785.5691,4.1076
mask_span__mlm_0p15__lr_1e-4,small,span,0.15,0.0001,span,0.15,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_span__mlm_0p15__lr_1e-4/checkpoint-30000,30000,0.37712419033050537,0.87451171875,30000,0.38128775358200073,0.885009765625,0.38128775358200073,0.885009765625,1.4641688646328486,0.38128775358200073,0.885009765625,1.4641688646328486,0.6814137179056804,3.066,34149495.0,7736.1342,5.5245
mask_span__mlm_0p15__lr_2e-4,small,span,0.15,0.0002,span,0.15,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_span__mlm_0p15__lr_2e-4/checkpoint-30000,30000,0.32050588726997375,0.89306640625,30000,0.3302268385887146,0.89306640625,0.3302268385887146,0.89306640625,1.3912836895003449,0.3302268385887146,0.89306640625,1.3912836895003449,0.6168509670893352,3.066,34149495.0,8156.5623,7.1875
mask_span__mlm_0p15__lr_4e-4,small,span,0.15,0.0004,span,0.15,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_span__mlm_0p15__lr_4e-4/checkpoint-30000,30000,0.3871152997016907,0.868896484375,30000,0.39613258838653564,0.870361328125,0.39613258838653564,0.870361328125,1.4860663396279377,0.39613258838653564,0.870361328125,1.4860663396279377,0.6793055411020915,3.066,34149495.0,7827.0396,5.3073
mask_span__mlm_0p20__lr_1e-4,small,span,0.2,0.0001,span,0.2,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_span__mlm_0p20__lr_1e-4/checkpoint-30000,30000,0.3478621542453766,0.88427734375,30000,0.3720373809337616,0.88037109375,0.3720373809337616,0.88037109375,1.450687208322067,0.3720373809337616,0.88037109375,1.450687208322067,0.6786050156911214,3.066,34149495.0,13034.6646,9.4446
mask_span__mlm_0p20__lr_2e-4,small,span,0.2,0.0002,span,0.2,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_span__mlm_0p20__lr_2e-4/checkpoint-30000,30000,0.30460768938064575,0.899169921875,30000,0.3151889145374298,0.895751953125,0.3151889145374298,0.895751953125,1.3705181973138132,0.3151889145374298,0.895751953125,1.3705181973138132,0.6128440437952677,3.066,34149495.0,21282.2301,14.8134
mask_span__mlm_0p20__lr_4e-4,small,span,0.2,0.0004,span,0.2,True,best_model_final_eval,"Final eval after training; if load_best_model_at_end was enabled, the best checkpoint was loaded first. Validation masking uses this run-specific masking_strategy and mlm_probability.",runs/chembl36_small_mask_mlm_lr_sweep/mask_span__mlm_0p20__lr_4e-4/checkpoint-30000,30000,0.36496394872665405,0.873046875,30000,0.3805765211582184,0.87353515625,0.3805765211582184,0.87353515625,1.4631278705007014,0.3805765211582184,0.87353515625,1.4631278705007014,0.6793200481414795,3.066,34149495.0,9012.2488,6.8166
